TwoTheta	Intensity
3.9986	107.6303162
4.0249	99.7007979
4.0512	96.8925504
4.0774	91.5294752
4.1037	88.9148679
4.13	85.82553
4.1563	83.0387177
4.1825	81.99373
4.2088	79.6599576
4.2351	75.7913496
4.2613	77.9476996
4.2876	73.918224
4.3139	73.2025691
4.3402	75.454377
4.3664	73.639336
4.3927	70.8762145
4.419	67.805136
4.4453	72.5606319
4.4715	74.0614545
4.4978	68.7308818
4.5241	68.6170247
4.5503	67.7312155
4.5766	67.6009586
4.6029	67.1240907
4.6292	67.4613316
4.6554	65.9996058
4.6817	65.7404314
4.708	67.72458
4.7342	68.3523796
4.7605	67.1944575
4.7868	70.8542136
4.8131	66.6325564
4.8393	65.8338372
4.8656	67.0528336
4.8919	65.2237027
4.9182	67.9350966
4.9444	66.0275176
4.9707	67.3132194
4.997	64.386345
5.0232	66.607632
5.0495	67.2744885
5.0758	64.767208
5.1021	64.1487033
5.1283	66.2935341
5.1546	63.2520966
5.1809	66.004666
5.2071	65.036679
5.2334	63.7846792
5.2597	63.3899044
5.286	61.227738
5.3122	64.5751032
5.3385	63.9498915
5.3648	65.4398304
5.3911	63.7389753
5.4173	62.4668863
5.4436	61.2405
5.4699	65.8685358
5.4961	63.6063653
5.5224	63.6787944
5.5487	62.5393977
5.575	68.238
5.6012	63.769662
5.6275	63.07302
5.6538	64.8434322
5.68	65.85392
5.7063	64.4355396
5.7326	63.115926
5.7589	61.5511232
5.7851	67.3096385
5.8114	64.7738644
5.8377	62.813652
5.864	63.284288
5.8902	66.7536366
5.9165	67.5486805
5.9428	67.7241488
5.969	69.514974
5.9953	65.9483
6.0216	69.1219464
6.0479	65.7709125
6.0741	68.1453279
6.1004	67.927954
6.1267	66.8177902
6.1529	67.8111109
6.1792	70.6097184
6.2055	66.1940685
6.2318	66.99185
6.258	70.014504
6.2843	66.9655008
6.3106	72.1112262
6.3369	66.3410061
6.3631	72.3802625
6.3894	68.0215524
6.4157	68.968775
6.4419	67.7752299
6.4682	68.1166142
6.4945	67.1076685
6.5208	71.3897184
6.547	71.264095
6.5733	71.2808652
6.5996	72.1864248
6.6258	68.8818168
6.6521	73.1731
6.6784	69.221616
6.7047	68.3745306
6.7309	74.107209
6.7572	72.9912744
6.7835	69.883617
6.8098	71.0806924
6.836	71.921556
6.8623	74.6275125
6.8886	72.0409788
6.9148	72.0314716
6.9411	70.1328744
6.9674	70.1826202
6.9937	71.3916896
7.0199	75.463925
7.0462	78.2410048
7.0725	75.5130825
7.0987	79.4912426
7.125	76.372875
7.1513	71.9635319
7.1776	76.7859648
7.2038	82.2457846
7.2301	82.6183527
7.2564	81.4821156
7.2827	79.8839363
7.3089	84.5858997
7.3352	81.4500608
7.3615	78.9815335
7.3877	78.6494542
7.414	78.543916
7.4403	83.3164794
7.4666	82.8344604
7.4928	83.2000512
7.5191	82.3942978
7.5454	85.753471
7.5717	83.6067114
7.5979	87.2162941
7.6242	82.2803664
7.6505	85.1118125
7.6767	89.3184045
7.703	82.244931
7.7293	84.4580611
7.7556	82.8065412
7.7818	86.4091072
7.8081	86.1311511
7.8344	86.3429224
7.8606	86.8753512
7.8869	91.9297064
7.9132	89.8464728
7.9395	87.5806245
7.9657	93.8439117
7.992	94.905
8.0183	90.8713939
8.0446	90.0834308
8.0708	91.9748368
8.0971	94.5498367
8.1234	93.0779172
8.1496	93.4677624
8.1759	95.2982904
8.2022	95.1783288
8.2285	91.797146
8.2547	102.6719586
8.281	98.593586
8.3073	89.7354546
8.3335	94.101882
8.3598	100.0584462
8.3861	106.1344816
8.4124	104.7175552
8.4386	102.9340428
8.4649	97.34635
8.4912	98.625288
8.5175	100.88127
8.5437	103.3275078
8.57	102.48006
8.5963	106.8262201
8.6225	98.624155
8.6488	105.9478
8.6751	98.2281573
8.7014	105.2347316
