TwoTheta Intensity
3.9986 33.188
4.0249 31.833
4.0512 29.313
4.0774 29.542
4.1037 28.271
4.1300 26.146
4.1563 25.958
4.1825 24.729
4.2088 23.896
4.2351 24.427
4.2613 23.177
4.2876 23.365
4.3139 23.188
4.3402 22.375
4.3664 22.865
4.3927 21.646
4.4190 20.896
4.4453 20.979
4.4715 21.156
4.4978 20.875
4.5241 21.094
4.5503 20.708
4.5766 21.333
4.6029 20.438
4.6292 20.594
4.6554 21.198
4.6817 20.073
4.7080 19.792
4.7342 19.979
4.7605 19.521
4.7868 19.771
4.8131 18.781
4.8393 19.188
4.8656 20.625
4.8919 18.854
4.9182 19.469
4.9444 18.969
4.9707 19.010
4.9970 17.875
5.0232 18.563
5.0495 18.688
5.0758 18.281
5.1021 18.042
5.1283 17.417
5.1546 18.792
5.1809 18.594
5.2071 16.802
5.2334 17.656
5.2597 17.469
5.2860 17.406
5.3122 17.448
5.3385 17.510
5.3648 17.271
5.3911 16.646
5.4173 17.510
5.4436 16.885
5.4699 16.802
5.4961 17.042
5.5224 16.167
5.5487 17.313
5.5750 16.052
5.6012 15.979
5.6275 16.250
5.6538 17.156
5.6800 17.333
5.7063 16.927
5.7326 16.385
5.7589 17.042
5.7851 15.917
5.8114 16.427
5.8377 15.490
5.8640 16.573
5.8902 16.542
5.9165 16.292
5.9428 15.719
5.9690 15.125
5.9953 17.115
6.0216 16.604
6.0479 16.229
6.0741 16.479
6.1004 16.063
6.1267 16.927
6.1529 16.073
6.1792 15.979
6.2055 17.115
6.2318 17.313
6.2580 15.771
6.2843 16.479
6.3106 16.073
6.3369 16.396
6.3631 16.667
6.3894 16.969
6.4157 15.938
6.4419 16.156
6.4682 16.375
6.4945 16.104
6.5208 16.990
6.5470 16.990
6.5733 17.135
6.5996 16.719
6.6258 15.771
6.6521 16.552
6.6784 17.417
6.7047 17.354
6.7309 16.417
6.7572 16.833
6.7835 16.698
6.8098 16.469
6.8360 16.813
6.8623 17.302
6.8886 16.479
6.9148 16.375
6.9411 16.719
6.9674 16.708
6.9937 17.500
7.0199 17.333
7.0462 17.010
7.0725 17.010
7.0987 17.073
7.1250 16.583
7.1513 17.604
7.1776 16.823
7.2038 17.250
7.2301 17.500
7.2564 17.438
7.2827 16.958
7.3089 17.042
7.3352 16.719
7.3615 16.792
7.3877 16.760
7.4140 17.823
7.4403 16.823
7.4666 18.125
7.4928 17.594
7.5191 16.563
7.5454 16.313
7.5717 16.927
7.5979 16.667
7.6242 17.885
7.6505 18.167
7.6767 17.333
7.7030 17.115
7.7293 16.927
7.7556 17.375
7.7818 17.458
7.8081 17.667
7.8344 16.875
7.8606 16.990
7.8869 17.042
7.9132 16.958
7.9395 17.302
7.9657 17.344
7.9920 17.104
8.0183 17.094
8.0446 17.010
8.0708 16.896
8.0971 17.927
8.1234 16.958
8.1496 17.177
8.1759 17.010
8.2022 17.448
8.2285 16.938
8.2547 16.792
8.2810 17.417
8.3073 16.906
8.3335 16.938
8.3598 17.531
8.3861 17.063
8.4124 16.021
8.4386 17.333
8.4649 17.729
8.4912 16.969
8.5175 16.938
8.5437 16.688
8.5700 16.875
8.5963 16.365
8.6225 16.448
8.6488 15.781
8.6751 16.083
8.7014 16.104
8.7276 16.042
8.7539 16.354
8.7802 17.135
8.8064 17.365
8.8327 16.396
8.8590 15.875
8.8853 16.302
8.9115 16.000
8.9378 16.240
8.9641 15.917
8.9904 15.750
9.0166 15.677
9.0429 14.948
9.0692 15.875
9.0954 15.521
9.1217 15.792
9.1480 15.719
9.1743 15.573
9.2005 15.938
9.2268 14.844
9.2531 16.021
9.2793 15.448
9.3056 15.708
9.3319 14.958
9.3582 15.708
9.3844 15.010
9.4107 15.073
9.4370 14.750
9.4633 14.417
9.4895 14.938
9.5158 14.500
9.5421 14.531
9.5683 14.448
9.5946 14.073
9.6209 14.458
9.6472 14.427
9.6734 14.208
9.6997 14.635
9.7260 14.042
9.7522 13.969
9.7785 14.104
9.8048 14.052
9.8311 13.802
9.8573 13.906
9.8836 13.792
9.9099 14.167
9.9362 13.427
9.9624 14.010
9.9887 12.802
10.0150 13.240
10.0412 13.219
10.0675 13.479
10.0938 12.948
10.1201 13.167
10.1463 12.760
10.1726 12.906
10.1989 12.625
10.2251 12.281
10.2514 12.969
10.2777 12.469
10.3040 12.438
10.3302 12.281
10.3565 12.271
10.3828 12.500
10.4091 12.010
10.4353 12.146
10.4616 12.250
10.4879 11.875
10.5141 11.427
10.5404 11.604
10.5667 11.427
10.5930 12.031
10.6192 11.594
10.6455 11.167
10.6718 11.104
10.6980 11.281
10.7243 11.177
10.7506 10.969
10.7769 11.188
10.8031 10.698
10.8294 10.458
10.8557 10.521
10.8820 11.010
10.9082 11.333
10.9345 10.385
10.9608 10.281
10.9870 11.000
11.0133 10.396
11.0396 10.813
11.0659 9.521
11.0921 9.635
11.1184 10.333
11.1447 10.271
11.1709 9.594
11.1972 9.771
11.2235 9.958
11.2498 9.260
11.2760 9.229
11.3023 9.396
11.3286 9.833
11.3549 9.885
11.3811 10.052
11.4074 9.531
11.4337 9.375
11.4599 9.979
11.4862 9.542
11.5125 9.083
11.5388 9.292
11.5650 10.010
11.5913 9.313
11.6176 9.406
11.6438 9.740
11.6701 8.885
11.6964 8.917
11.7227 8.302
11.7489 8.792
11.7752 8.750
11.8015 8.313
11.8278 8.375
11.8540 8.531
11.8803 8.219
11.9066 8.510
11.9328 8.417
11.9591 8.938
11.9854 8.083
12.0117 8.740
12.0379 7.969
12.0642 7.625
12.0905 7.969
12.1167 8.625
12.1430 8.396
12.1693 7.813
12.1956 8.281
12.2218 8.000
12.2481 7.677
12.2744 7.938
12.3007 7.469
12.3269 7.385
12.3532 7.146
12.3795 7.385
12.4057 7.156
12.4320 7.188
12.4583 7.646
12.4846 7.438
12.5108 7.083
12.5371 7.542
12.5634 7.521
12.5896 7.490
12.6159 7.885
12.6422 8.146
12.6685 7.052
12.6947 6.927
12.7210 6.938
12.7473 7.302
12.7736 6.875
12.7998 7.469
12.8261 7.083
12.8524 7.656
12.8786 6.760
12.9049 7.542
12.9312 6.698
12.9575 7.115
12.9837 6.771
13.0100 7.042
13.0363 6.990
13.0625 7.000
13.0888 6.813
13.1151 6.688
13.1414 7.031
13.1676 6.552
13.1939 6.542
13.2202 6.469
13.2465 6.604
13.2727 5.958
13.2990 6.208
13.3253 6.240
13.3515 6.938
13.3778 5.979
13.4041 6.896
13.4304 6.604
13.4566 6.344
13.4829 6.781
13.5092 6.531
13.5354 6.115
13.5617 6.625
13.5880 6.542
13.6143 6.490
13.6405 6.500
13.6668 6.646
13.6931 6.708
13.7194 6.823
13.7456 5.979
13.7719 6.833
13.7982 6.906
13.8244 6.813
13.8507 6.969
13.8770 6.979
13.9033 7.417
13.9295 7.240
13.9558 7.833
13.9821 8.500
14.0083 9.635
14.0346 11.406
14.0609 12.677
14.0872 14.844
14.1134 17.031
14.1397 18.302
14.1660 17.802
14.1923 16.750
14.2185 15.083
14.2448 13.240
14.2711 12.010
14.2973 10.417
14.3236 8.927
14.3499 7.917
14.3762 7.781
14.4024 7.917
14.4287 6.792
14.4550 6.781
14.4812 6.281
14.5075 6.240
14.5338 5.990
14.5601 6.125
14.5863 6.177
14.6126 5.844
14.6389 5.927
14.6652 5.719
14.6914 6.063
14.7177 5.542
14.7440 6.073
14.7702 5.521
14.7965 5.813
14.8228 5.635
14.8491 5.813
14.8753 6.125
14.9016 5.833
14.9279 6.052
14.9542 5.875
14.9804 5.396
15.0067 6.000
15.0330 5.771
15.0592 5.667
15.0855 5.604
15.1118 5.292
15.1381 5.792
15.1643 5.833
15.1906 5.313
15.2169 5.438
15.2431 5.323
15.2694 5.958
15.2957 5.583
15.3220 5.781
15.3482 5.438
15.3745 5.750
15.4008 5.750
15.4271 5.979
15.4533 5.875
15.4796 5.208
15.5059 5.365
15.5321 5.427
15.5584 5.833
15.5847 5.542
